"","x"
"X453",128.289898545835
"X454",91.4032019996858
"X455",117.216315751246
"X456",103.972648316051
"X457",125.735006135824
"X458",103.850917114722
"X459",128.698083931395
"X460",112.247995751215
"X461",102.87133310108
"X462",124.23574794224
"X463",110.308977122336
"X464",117.146834291739
"X465",124.257990343135
"X466",122.55704928527
"X467",100.990240992139
"X468",118.384422603238
"X469",106.20751844919
"X470",122.953275830616
"X471",107.147894064578
"X472",100.749656579878
"X473",114.441540652173
"X474",115.100112234347
"X475",110.072557306034
"X476",129.442468108025
"X477",108.093415546961
"X478",121.439264191285
"X479",128.568720194702
"X480",81.4966708460829
"X481",118.762548708884
"X482",125.721161409833
"X483",120.300419995021
"X484",127.410357586812
"X485",132.085275542549
"X486",95.6578328727126
"X487",112.029914209137
"X488",116.309426616002
"X489",106.606504626096
"X490",104.794707896647
"X491",112.59926783062
"X492",110.722552300565
"X493",120.951247571252
"X494",117.573929352973
"X495",123.504036752652
"X496",84.9849290931001
"X497",115.36254948322
"X498",106.691766687025
"X499",104.944039966747
"X500",115.78785693336
"X501",119.69199402015
"X502",104.536730651044
"X503",121.980337149211
"X504",112.807056067505
"X505",107.05954580468
"X506",103.600485644915
"X507",116.483642323997
"X508",130.468683984273
"X509",99.318737321131
"X510",107.333900326409
"X511",118.714595504989
"X512",117.659734322852
"X513",115.21178263317
"X514",107.302840101146
"X515",121.171005789559
"X516",136.528809688067
"X517",113.031577064243
"X518",111.81765276099
"X519",107.318971592
"X520",116.642375931901
"X521",113.907938578814
"X522",120.439206632972
"X523",137.501660747905
"X524",91.3158811304953
"X525",113.824389780859
"X526",113.584469749645
"X527",114.163171063918
"X528",123.736037026536
"X529",113.477193639471
"X530",120.623126685904
"X531",99.0365823187444
"X532",110.436994976353
"X533",103.342910964574
"X534",107.918186024837
"X535",118.072626871137
"X536",108.793764101744
"X537",110.67940270896
"X538",108.884733922791
"X539",100.896027874372
"X540",114.115555965755
"X541",93.6351177787674
"X542",126.580360663588
"X543",110.534514737202
"X544",98.7934568788492
"X545",95.9077392153239
"X546",122.066276116816
"X547",113.829434552563
"X548",92.2057957631682
"X549",117.447058583632
"X550",104.051025342053
"X551",114.432302346538
"X552",126.594079602748
"X553",117.043068459501
"X554",125.883727281005
"X555",124.271114726244
"X556",109.063604418608
"X557",109.200881425792
"X558",115.069569006063
"X559",128.298579501356
"X560",120.505152908486
"X561",118.655763632741
"X562",101.755837646301
"X563",109.156929375791
"X564",101.252153015074
"X565",106.882896248862
"X566",134.462513597244
"X567",115.035713610811
"X568",122.21410355666
"X569",126.216817737777
"X570",115.985311685151
"X571",108.143093121692
"X572",104.986168075677
"X573",127.298631651962
"X574",123.298871642186
"X575",111.596848002096
"X576",111.512914763426
"X577",122.018040041533
"X578",102.677496430188
"X579",116.499537830028
"X580",114.507086623057
"X581",115.515862303742
"X582",102.800504708065
"X583",116.108749317021
"X584",118.660943702412
"X585",116.225031386706
"X586",132.776659599308
"X587",124.547429533814
"X588",110.047788451431
"X589",102.117964046071
"X590",113.40886353078
"X591",90.2276064298414
"X592",116.874478191654
"X593",115.778038438427
"X594",132.163887432728
"X595",115.877375603082
"X596",114.505013049299
"X597",123.063816112686
"X598",95.7143964962604
"X599",104.75144889735
"X600",111.813590786313
"X601",127.706632564892
"X602",100.59657620509
"X603",124.901015221464
"X604",124.225891687689
"X605",116.012209947712
"X606",103.588390163099
"X607",100.575793653599
"X608",112.724251472878
"X609",101.842333240004
"X610",113.503701265278
"X611",117.722075743245
"X612",109.950844616136
"X613",116.797112419718
"X614",121.777482536022
"X615",119.519234737115
"X616",105.273682414384
"X617",95.9623703398597
"X618",116.029684909455
"X619",124.390773293706
"X620",110.091683688801
"X621",125.888511088261
"X622",112.727021656579
"X623",100.898825815339
"X624",114.451049073844
"X625",130.806414198596
"X626",103.200868550958
"X627",113.783646144376
"X628",110.770176870339
"X629",110.155359765325
"X630",104.544741843862
"X631",137.376178436467
"X632",115.450958636925
